longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.0,38.0,7,3770.0,534.0,1265.0,500.0,6.0,8,NEAR OCEAN
-122.0,38.0,5,292.0,38.0,126.0,52.0,6.0,9,NEAR OCEAN
-122.0,38.0,9,2375.0,333.0,813.0,350.0,7.0,8,NEAR OCEAN
-122.0,38.0,8,2964.0,436.0,1067.0,426.0,7.0,8,NEAR OCEAN
-122.0,38.0,9,2833.0,605.0,1260.0,552.0,3.0,6,NEAR OCEAN
-122.0,38.0,7,2254.0,535.0,951.0,487.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,1389.0,212.0,510.0,224.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,1971.0,335.0,765.0,308.0,7.0,7,NEAR OCEAN
-122.0,38.0,9,2183.0,465.0,1129.0,460.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,2286.0,464.0,1073.0,441.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,2721.0,541.0,1185.0,515.0,5.0,6,NEAR OCEAN
-122.0,38.0,9,2024.0,339.0,756.0,340.0,4.0,7,NEAR OCEAN
-122.0,38.0,9,2944.0,536.0,1034.0,521.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,2033.0,486.0,787.0,459.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,1433.0,229.0,612.0,213.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,2927.0,402.0,1021.0,380.0,8.0,9,NEAR OCEAN
-122.0,38.0,9,2315.0,292.0,861.0,258.0,9.0,9,NEAR OCEAN
-122.0,38.0,9,2485.0,313.0,953.0,327.0,7.0,8,NEAR OCEAN
-122.0,38.0,9,1490.0,238.0,634.0,256.0,6.0,7,NEAR OCEAN
-122.0,38.0,9,2814.0,365.0,878.0,352.0,8.0,8,NEAR OCEAN
-122.0,38.0,9,2093.0,550.0,918.0,483.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,888.0,168.0,360.0,175.0,2.0,6,NEAR OCEAN
-122.0,38.0,9,2087.0,510.0,1197.0,488.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,2513.0,502.0,1048.0,518.0,4.0,7,NEAR OCEAN
-122.0,38.0,8,3232.0,835.0,1373.0,747.0,3.0,6,NEAR OCEAN
-122.0,38.0,8,4120.0,1065.0,1715.0,1015.0,3.0,6,NEAR OCEAN
-122.0,38.0,8,2364.0,792.0,1359.0,722.0,2.0,7,NEAR OCEAN
-122.0,38.0,8,1471.0,469.0,1062.0,413.0,2.0,4,NEAR OCEAN
-122.0,38.0,4,2468.0,864.0,1335.0,773.0,1.0,5,NEAR OCEAN
-122.0,38.0,4,1632.0,492.0,1171.0,429.0,2.0,2,NEAR OCEAN
-122.0,38.0,8,1786.0,526.0,1475.0,460.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,629.0,188.0,742.0,196.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1339.0,391.0,1086.0,363.0,2.0,3,NEAR OCEAN
-122.0,38.0,6,1678.0,606.0,1645.0,543.0,2.0,2,NEAR OCEAN
-122.0,38.0,8,2344.0,647.0,1710.0,644.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,996.0,228.0,731.0,228.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1591.0,373.0,1118.0,347.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1586.0,398.0,1006.0,335.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,2046.0,588.0,1213.0,554.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,1192.0,289.0,772.0,257.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,1803.0,420.0,1321.0,401.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,2838.0,749.0,1487.0,677.0,3.0,4,NEAR OCEAN
-122.0,38.0,9,783.0,184.0,488.0,186.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1590.0,414.0,949.0,392.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1746.0,480.0,1149.0,415.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1252.0,299.0,844.0,280.0,2.0,2,NEAR OCEAN
-122.0,38.0,8,5963.0,1344.0,4367.0,1231.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1783.0,395.0,1659.0,412.0,3.0,2,NEAR OCEAN
-122.0,38.0,5,999.0,264.0,1011.0,263.0,2.0,3,NEAR OCEAN
-122.0,38.0,7,1469.0,431.0,1464.0,389.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1372.0,395.0,1237.0,303.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,674.0,180.0,647.0,168.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,1626.0,376.0,1284.0,357.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,175.0,43.0,228.0,55.0,2.0,0,NEAR OCEAN
-122.0,38.0,7,461.0,129.0,381.0,123.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,902.0,237.0,846.0,227.0,4.0,2,NEAR OCEAN
-122.0,38.0,2,2373.0,779.0,1659.0,676.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,391.0,128.0,520.0,138.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1137.0,301.0,866.0,259.0,3.0,1,NEAR OCEAN
-122.0,38.0,9,769.0,206.0,612.0,183.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,472.0,146.0,415.0,126.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,862.0,215.0,994.0,213.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,1920.0,530.0,1525.0,477.0,1.0,2,NEAR OCEAN
-122.0,38.0,8,1420.0,472.0,1506.0,438.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,986.0,258.0,1008.0,255.0,1.0,2,NEAR OCEAN
-122.0,38.0,8,2340.0,825.0,2813.0,751.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1696.0,396.0,1481.0,343.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1175.0,217.0,859.0,219.0,2.0,1,NEAR OCEAN
-122.0,38.0,7,2343.0,574.0,1608.0,523.0,2.0,2,NEAR OCEAN
-122.0,38.0,5,610.0,145.0,425.0,140.0,2.0,2,NEAR OCEAN
-122.0,38.0,7,930.0,199.0,564.0,184.0,1.0,2,NEAR OCEAN
-122.0,38.0,8,1487.0,314.0,961.0,272.0,4.0,2,NEAR OCEAN
-122.0,38.0,9,3424.0,690.0,2273.0,685.0,4.0,4,NEAR OCEAN
-122.0,38.0,9,762.0,190.0,600.0,195.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,2366.0,575.0,1647.0,527.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1826.0,450.0,1201.0,424.0,2.0,3,NEAR OCEAN
-122.0,38.0,7,3049.0,711.0,2167.0,659.0,3.0,3,NEAR OCEAN
-122.0,38.0,4,1640.0,376.0,939.0,340.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,1543.0,307.0,859.0,292.0,3.0,3,NEAR OCEAN
-122.0,38.0,6,2364.0,557.0,1517.0,516.0,3.0,3,NEAR OCEAN
-122.0,38.0,6,1745.0,409.0,1143.0,386.0,3.0,3,NEAR OCEAN
-122.0,38.0,7,2003.0,500.0,1109.0,464.0,3.0,3,NEAR OCEAN
-122.0,38.0,7,2018.0,447.0,1221.0,446.0,3.0,3,NEAR OCEAN
-122.0,38.0,8,3045.0,499.0,1115.0,455.0,5.0,7,NEAR OCEAN
-122.0,38.0,9,1547.0,293.0,706.0,268.0,5.0,6,NEAR OCEAN
-122.0,38.0,9,3519.0,711.0,1883.0,706.0,3.0,5,NEAR OCEAN
-122.0,38.0,8,2070.0,354.0,804.0,340.0,5.0,6,NEAR OCEAN
-122.0,38.0,9,1321.0,263.0,506.0,252.0,4.0,6,NEAR OCEAN
-122.0,38.0,9,1694.0,259.0,610.0,238.0,5.0,7,NEAR OCEAN
-122.0,38.0,8,1938.0,341.0,768.0,332.0,4.0,7,NEAR OCEAN
-122.0,38.0,9,968.0,195.0,462.0,184.0,3.0,5,NEAR OCEAN
-122.0,38.0,7,1060.0,256.0,667.0,235.0,4.0,4,NEAR OCEAN
-122.0,38.0,8,2041.0,405.0,1059.0,399.0,4.0,5,NEAR OCEAN
-122.0,38.0,9,1813.0,271.0,637.0,277.0,4.0,7,NEAR OCEAN
-122.0,38.0,8,2718.0,451.0,1106.0,454.0,5.0,6,NEAR OCEAN
-122.0,38.0,4,3144.0,761.0,1737.0,669.0,3.0,3,NEAR OCEAN
-122.0,38.0,6,1802.0,459.0,1009.0,390.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,882.0,195.0,737.0,210.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,1621.0,452.0,1354.0,491.0,3.0,3,NEAR OCEAN
-122.0,38.0,8,2115.0,533.0,1530.0,474.0,2.0,3,NEAR OCEAN
-122.0,38.0,8,2021.0,528.0,1410.0,480.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,2239.0,508.0,1390.0,569.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,1477.0,300.0,1065.0,269.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,1056.0,224.0,792.0,245.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,898.0,244.0,779.0,245.0,3.0,3,NEAR OCEAN
-122.0,38.0,8,2968.0,710.0,2269.0,610.0,2.0,2,NEAR OCEAN
-122.0,38.0,8,1702.0,460.0,1227.0,407.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,881.0,248.0,753.0,241.0,3.0,2,NEAR OCEAN
-122.0,38.0,7,494.0,114.0,547.0,135.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1776.0,473.0,1807.0,440.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1678.0,514.0,1700.0,495.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1637.0,463.0,1543.0,393.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1420.0,314.0,1085.0,300.0,2.0,0,NEAR OCEAN
-122.0,38.0,9,591.0,173.0,353.0,137.0,4.0,0,NEAR OCEAN
-122.0,38.0,9,745.0,153.0,473.0,149.0,3.0,1,NEAR OCEAN
-122.0,38.0,9,2272.0,498.0,1621.0,483.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1234.0,375.0,1183.0,354.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1017.0,328.0,836.0,277.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,932.0,254.0,900.0,263.0,2.0,1,NEAR OCEAN
-122.0,38.0,7,2689.0,597.0,1888.0,537.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1547.0,415.0,1024.0,341.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2300.0,443.0,1225.0,423.0,4.0,4,NEAR OCEAN
-122.0,38.0,7,1752.0,399.0,1071.0,376.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1867.0,403.0,1128.0,378.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,2430.0,502.0,1537.0,484.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,1729.0,414.0,1240.0,393.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1026.0,180.0,469.0,168.0,3.0,4,NEAR OCEAN
-122.0,38.0,9,2170.0,428.0,1086.0,425.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,2329.0,445.0,1144.0,417.0,4.0,3,NEAR OCEAN
-122.0,38.0,9,2492.0,415.0,1109.0,375.0,4.0,4,NEAR OCEAN
-122.0,38.0,9,2198.0,397.0,984.0,369.0,3.0,3,NEAR OCEAN
-122.0,38.0,5,142.0,31.0,575.0,47.0,4.0,6,NEAR OCEAN
-122.0,38.0,9,1183.0,205.0,496.0,209.0,5.0,4,NEAR OCEAN
-122.0,38.0,9,1070.0,193.0,555.0,190.0,4.0,4,NEAR OCEAN
-122.0,38.0,8,1766.0,332.0,869.0,327.0,5.0,4,NEAR OCEAN
-122.0,38.0,7,617.0,95.0,236.0,106.0,5.0,7,NEAR OCEAN
-122.0,38.0,8,1411.0,233.0,626.0,214.0,7.0,6,NEAR OCEAN
-122.0,38.0,8,2109.0,387.0,922.0,329.0,4.0,5,NEAR OCEAN
-122.0,38.0,9,1229.0,243.0,582.0,256.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,954.0,217.0,546.0,201.0,3.0,4,NEAR OCEAN
-122.0,38.0,7,1643.0,262.0,620.0,266.0,5.0,8,NEAR OCEAN
-122.0,38.0,6,1355.0,195.0,442.0,195.0,6.0,8,NEAR OCEAN
-122.0,38.0,3,2317.0,336.0,955.0,328.0,7.0,7,NEAR OCEAN
-122.0,38.0,3,2459.0,317.0,916.0,324.0,7.0,8,NEAR OCEAN
-122.0,38.0,3,12842.0,2048.0,4985.0,1967.0,6.0,8,NEAR OCEAN
-122.0,38.0,8,1524.0,260.0,651.0,267.0,4.0,3,NEAR OCEAN
-122.0,38.0,5,3326.0,746.0,1704.0,703.0,3.0,3,NEAR OCEAN
-122.0,38.0,8,1985.0,440.0,1085.0,407.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,1642.0,322.0,713.0,284.0,3.0,4,NEAR OCEAN
-122.0,38.0,9,893.0,177.0,468.0,181.0,4.0,3,NEAR OCEAN
-122.0,38.0,9,653.0,128.0,296.0,121.0,4.0,3,NEAR OCEAN
-122.0,38.0,9,977.0,194.0,446.0,180.0,5.0,3,NEAR OCEAN
-122.0,38.0,8,2324.0,397.0,968.0,384.0,4.0,4,NEAR OCEAN
-122.0,38.0,7,1583.0,349.0,857.0,316.0,3.0,3,NEAR OCEAN
-122.0,38.0,7,1612.0,342.0,912.0,322.0,3.0,3,NEAR OCEAN
-122.0,38.0,5,2424.0,533.0,1360.0,452.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1594.0,367.0,1074.0,355.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2118.0,413.0,965.0,382.0,2.0,2,NEAR OCEAN
-122.0,38.0,7,1575.0,358.0,933.0,320.0,2.0,1,NEAR OCEAN
-122.0,38.0,7,1764.0,397.0,987.0,354.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1187.0,261.0,907.0,246.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,754.0,175.0,447.0,165.0,4.0,1,NEAR OCEAN
-122.0,38.0,9,2308.0,452.0,1299.0,451.0,2.0,1,NEAR OCEAN
-122.0,38.0,4,909.0,236.0,396.0,157.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1180.0,257.0,877.0,268.0,3.0,1,NEAR OCEAN
-122.0,38.0,8,2018.0,408.0,1111.0,367.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1368.0,282.0,790.0,269.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2744.0,547.0,1479.0,554.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2107.0,471.0,1173.0,438.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1748.0,362.0,1029.0,366.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2024.0,391.0,1030.0,350.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1116.0,259.0,826.0,279.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,2036.0,510.0,1412.0,454.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,1852.0,393.0,1132.0,349.0,3.0,1,NEAR OCEAN
